[98, 28, -27, 99, 138, 21, 93, -48, -119, -58, 96, 34]
[100, 74, 147, 5, -2, 29, 35, 144, -30, -61, 56, 103]
[-134, -79, -103, -13, 148, -46, -3, -22, 64, -19, -53, -70]

[-146, -90, 4, -139, 104, -124, 2, -135, 74, -48, 21, -66]
[-146, -90, 4, -139, 104, -124, 2, -135, 74, -48, 21, -66]
[-146, -90, 4, -139, 103, -32, -21, -87, -7, 147, 150, -125]
[-146, -90, 4, -139, 103, -32, -21, -87, -7, 147, 150, -125]
[-146, -90, 4, -139, 104, -32, -21, -87, -7, -48, 4, -138]
[-146, -90, 4, -139, 103, -32, -21, -87, -7, -48, 4, -138]
[-146, -90, 4, -139, 103, -32, -21, -87, -7, -48, 4, -138]
[-146, -90, 4, -139, 103, -32, -21, -87, -7, 147, 150, -85]
[-146, -90, 4, -139, 104, -32, -21, -87, -7, -48, 4, -138]
[-146, -90, 4, -139, 104, -32, -21, -87, -7, -48, 4, -138]
[-141, -90, 4, -139, 103, -32, -21, -87, -7, -48, 4, -138]

1 --------------------------------
[0, 19, -78, 70, 100, 36, 77, 99, -58, -74, 88, 92]
[37, -51, 86, -55, 45, -52, 71, -59, 100, -90, 52, 84]
[26, -51, -32, -47, 96, 30, 49, -56, -18, 89, -56, -84]
[26, 73, -26, -18, -62, 52, -49, -26, -44, -91, -26, -85]
[-97, -76, 81, 21, -19, -79, -70, -13, 34, 44, -19, -49]
[60, -28, -3, -74, -14, -78, -45, -14, 99, -49, 80, -56]
[73, 54, -49, -99, 34, 57, 41, -28, -81, -70, -15, -15]
[-24, -65, 97, 16, 65, -95, 68, 62, 88, 95, -88, 36]
[-100, 41, -9, -51, 6, 81, 83, 76, -28, -36, -98, -76]
[-19, -63, -29, -2, 21, -76, -78, -57, 87, -44, -52, 14]
[-95, -31, 54, -2, -38, 71, -39, 23, 94, -99, -96, 4]
[17, 30, 35, 47, 93, -72, 3, -11, -52, -97, 59, 14]
[-70, -39, 95, -10, -98, -82, -62, 79, 80, -28, 27, -48]
[29, 55, -68, -66, 32, -33, 47, 91, 76, 88, -92, 99]
[59, 76, 94, 17, -49, -40, -13, -84, 91, 78, 15, -60]
[24, 12, -35, 20, 64, -16, -3, 17, 58, 22, 61, -84]
[-84, -62, -39, 41, -55, 16, -66, 58, -34, -51, -21, -3]
[-30, 95, 99, 64, 3, 85, 39, -83, 21, -82, -66, -59]
[36, -90, 47, 89, -24, -84, 39, -79, 34, 91, 96, 97]
[-4, -96, 54, -38, 67, 65, 4, -54, -97, -48, -71, 20]

1 --------------------------------
[66, 71, -38, -66, 32, -6, 77, 36, 51, -43, -95, 17]
[95, -51, -20, -97, -15, -25, -30, 45, 88, 29, -19, 97]
[42, -94, 22, 47, -43, -62, 80, 33, 34, 48, -53, 87]
[-19, 45, 77, -96, -37, -88, 21, 44, -73, 54, 30, 36]
[94, -6, -9, -11, -97, 60, 43, -71, 0, 57, -47, 5]
[27, 54, 19, -29, 6, 3, -62, 55, 62, -10, -62, 5]
[-29, -9, -86, -16, 80, 74, -19, -60, -19, 87, 69, -57]
[95, 87, 91, 97, -6, 21, -66, 30, -27, 56, 35, -9]
[87, 79, -7, -97, 66, 54, -12, 21, -92, 79, -86, -89]
[67, -44, -8, 3, 93, 5, -78, 67, -20, 62, 56, -76]

2 --------------------------------
[-19, 45, 77, -96, -37, -88, 21, -60, -19, 87, 69, -57]
[27, 54, 19, -11, 6, 3, -62, 55, 62, 62, 56, -76]
[95, -51, -7, -97, 66, 54, -12, 21, -92, 79, -86, -89]
[-29, -9, -86, -16, 80, 74, -19, -60, -27, 56, 35, -73]
[-29, -9, -86, -97, 66, 54, -12, 21, -92, 79, -86, -89]
[95, -44, -8, 3, 93, 5, -78, 67, -20, 62, 56, -76]
[27, -44, 19, -29, 6, 74, -19, -60, -19, 87, 69, -57]
[95, 87, 91, 97, -6, 54, -12, 21, -92, 79, -86, -89]
[95, 87, 91, 3, 93, 5, -78, 67, -20, 62, -36, -76]
[95, -94, 22, 47, -43, -62, 80, 33, 34, 48, -53, 87]

3 --------------------------------
[27, -44, 19, -29, 6, 74, -19, -60, -19, 87, -86, -89]
[95, -44, -8, 3, 93, 5, -12, 21, -92, 79, -86, -89]
[27, -44, 22, 47, -43, -62, 80, 33, 34, 48, -53, 87]
[95, 87, 91, 3, 93, 5, -78, 67, 19, 62, -53, 87]
[95, 87, 91, 97, -6, 54, -78, 67, -20, 62, -36, -76]
[95, -44, -8, 3, 93, 5, -78, 67, -20, -67, 69, -57]
[-29, -9, -86, -16, 53, 74, -19, -60, -27, 79, -86, -89]
[27, -44, 19, -29, 6, 74, -78, 67, -20, 62, -36, -76]
[27, 54, 19, -11, 6, -62, 80, 33, 34, 48, -53, 87]
[-29, -9, -86, -16, 24, 74, -19, -60, -19, 87, 69, -57]

4 --------------------------------
[95, -44, -8, 3, 93, 5, -78, 67, -20, -67, 40, 87]
[-29, -9, -86, -16, 24, 74, -19, -60, -19, 87, 69, -57]
[-29, -9, -86, -16, 53, -60, -19, -60, -27, 79, -36, -76]
[95, -9, -86, -16, 53, -74, -19, -60, -27, 79, -86, -89]
[95, -44, 36, 3, 6, 74, -78, 67, -20, 62, -36, -76]
[27, -44, 19, -29, 6, 74, -78, 67, -19, 87, 69, -57]
[95, -9, -5, -16, 24, 74, -19, -60, -19, 87, 69, -57]
[95, 87, 91, 3, 93, 5, -78, 67, -20, 62, -36, -76]
[27, -44, 22, -16, 53, 74, -19, -60, -27, 79, -86, -89]
[95, 87, 19, -11, 6, -62, 80, 33, 34, 48, -53, 87]

5 --------------------------------
[95, 87, 91, 3, 93, 5, -78, 67, -20, 48, -53, 87]
[-29, -9, -86, -16, 53, -60, -19, -60, -27, 79, -36, -76]
[27, -44, 22, -16, 53, 74, 80, 33, 34, 48, -53, 87]
[95, -9, -5, -16, 6, -62, 80, 33, 34, 48, -53, 87]
[-34, 87, 91, 3, 93, 5, -19, -60, -27, 79, -86, -89]
[95, -9, -86, -16, 53, -74, -19, -60, 15, 79, -86, -89]
[95, -44, 22, -16, 53, 74, -19, -60, -27, 79, -86, -89]
[95, -44, 36, 3, 6, -62, 80, 33, 34, 48, -53, 87]
[-29, 20, -86, -16, 24, 74, -19, -60, -19, 87, 69, -57]
[-29, -9, -86, -16, 53, -60, -19, -60, -27, 79, -86, -89]

6 --------------------------------
[44, -44, 36, 3, 24, 74, -19, -60, -19, 87, 69, -57]
[95, -44, -86, -16, 53, -60, -19, -60, -27, 79, -86, -89]
[-51, -9, -5, -16, 6, -60, -19, -60, -27, 79, -86, -89]
[95, 41, 22, -16, 53, 74, -19, -60, -27, 79, -86, -89]
[95, -44, 22, -16, 53, 74, -19, -60, -27, 48, -53, 87]
[95, -44, 22, -16, 53, 74, -19, -60, -27, 79, -86, -28]
[95, -9, -86, -16, 53, -60, -19, -60, -27, 79, 35, -89]
[95, -44, 22, -16, 53, 74, -19, -60, -19, 24, 69, -57]
[-29, 20, -86, -16, 53, -60, -19, -60, -27, 79, -86, -89]
[95, 87, 36, 3, 6, -62, 80, 93, 34, 48, -53, 87]

7 --------------------------------
[-14, 20, -86, -16, 53, -60, -19, -60, 34, 48, -53, 87]
[95, -9, -86, -16, 53, -60, -19, -60, -27, 79, -86, -89]
[-83, -44, -86, -16, 53, -60, -19, -60, -27, 79, 35, -89]
[95, -9, -86, -16, 53, -60, -19, -60, -27, 48, -53, 87]
[95, -44, 22, -16, 53, -60, -19, -60, -27, 79, 35, -89]
[95, -44, 22, -16, 53, 74, -19, -60, -19, 24, 69, -57]
[95, -9, -86, -16, 53, 74, -19, -60, -19, 24, 69, -57]
[95, -44, 22, 3, 6, -62, 80, 93, 34, 48, -53, 87]
[95, 41, 22, -16, 53, 74, -19, -60, -27, 48, -53, 87]
[95, -44, 22, -16, 53, -36, -19, -60, -27, 24, 69, -57]

8 --------------------------------
[95, -44, 22, -16, 0, -36, -19, -60, -27, 24, 69, -57]
